source,title,location,price,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,cat_mean_valor_suelo_200m,cat_mean_vus_200m,cat_mean_antiguedad_200m,cat_std_valor_suelo_200m,cat_mean_ratio_construccion_200m,cat_density_predios_200m,dist_metro_m,density_metro,dist_tren_m,density_tren,dist_trole_m,density_trole,dist_cable_m,density_cable,dist_metrobus_m,density_metrobus,comercio_density,marginalidad_score,alc,pct_migrantes_turistas,dist_ciclovia_m,densidad_ciclovia_15m,dist_area_verde_m,densidad_parques_15m,dist_salud_m,acceso_salud_15m,dist_escuela_m,acceso_educacion_15m,score_15min,prox_ciclovia,prox_parque,prox_salud,prox_escuela,uso_mixto,price_m2_raw,listing_density_local,listing_density_log,precio_vecinal_local,dist_nearest_subcenter_m,dist_subcenter_log,gentrification_index,spatial_lag_price,lag_x_area,is_luxury,area_x_marginalidad,area_X_gentrif,gentrif_x_metro,15min_X_gentrif,verde_marginalidad_ratio,salud_marginalidad_ratio,educacion_marginalidad_ratio,cluster,precio_predicho,gentrif_local_presion,gentrif_map_score,error_pct,segmento
Casas_Mudafy.xlsx,Casa en Venta en Rancho del Carmen del Pueblo San Bartolo Ameyalco,"Av. Desierto De Los Leones, Rancho del Carmen del Pueblo San Bartolo Ameyalco, Álvaro Obregón, Ciudad de México",23000000.0,4.0,4.0,6.0,784.0,3.1354942159291497,Coyoacán,"Av. Desierto De Los Leones, Rancho  del Pueblo San Bartolo Ameyalco, Álvaro Obregón",19.3467,-99.16174,1766173.8438852567,5522.89,45.1474358974359,2144014.3971794997,1.3630734741615855,312,7.423664251933448,0,7.6160624995872,0,5.506880632775148,2,8.970966410926847,0,7.867923393289518,0,2.5649493574615367,1.0,coyoacan,0.07973496801885356,6.296743265371069,42,5.5584085769293194,84,6.459241167582385,2,5.988354081596901,61,0.3620689655172414,0.33837432106884735,0.596414517669261,0.450692326423338,0.5153393939566965,0.0,29336.73469387755,234,5.459585514144159,39183.12462855762,3012.660365751012,8.01091068728652,0.750956198657275,10.557397947448758,70.3722756004586,0,6.665683717782408,588.7496597473037,0.0,0.27189793399659956,3.7612001156935624,0.6931471805599453,3.449987545831587,2,26125147.516878944,0.42744192593273816,0.6700776304761408,13.58759789947367,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Romero de Terreros,"Omega 200, Romero de Terreros, Coyoacán, Ciudad de México",9600000.0,4.0,4.0,3.0,368.0,3.9318256327243257,Coyoacán,"Omega 200, Romero de Terreros",19.3410347,-99.1685303,1504229.364290514,4381.211146245059,40.77865612648221,1164046.4272791378,1.1872768926630013,253,6.9493852078523,0,7.8773471421191354,0,6.096205747520381,0,8.986859702435824,0,7.657437828338494,0,2.70805020110221,1.0,coyoacan,0.07973496801885356,6.833860365613561,3,4.453284309777295,101,6.242275176354956,2,4.528054842642707,33,0.2662835249042146,0.15636870295192365,0.843818999067335,0.5266161554411751,0.8584468500982487,0.0,26086.956521739132,217,5.384495062789089,43035.79161214414,3650.187548443261,8.202807749397717,0.750956198657275,10.66036430033287,63.011245530656964,0,5.910796644040527,276.3518811058772,0.0,0.1999672636271288,3.9415818076696905,0.6931471805599453,2.8622008809294686,2,15833078.465762025,0.37274921000533323,0.6564044514942896,64.92790068502109,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Bosques de las Lomas,"Cercanía De Bosques De Las Lomas, Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",21900000.0,3.0,3.0,3.0,750.0,2.772588722239781,Cuajimalpa de Morelos,"Cercanía De Bosques De Las Lomas, Bosques de las Lomas",19.37893,-99.26587,1001803.8923387098,4360.599999999999,26.368279569892472,1755549.539426932,3.464923851756026,372,8.881965468273876,0,9.51289046573208,0,9.009951254473933,0,8.196072122791758,0,9.0671775577623,0,2.5649493574615367,1.0,cuajimalpa de morelos,0.06765864847381481,7.201742920471172,0,5.218543860853131,113,8.458874114158961,0,5.910009066263083,21,0.2567049808429119,0.06845801491082355,0.6925809307329991,0.002754055809632513,0.541804976805472,0.0,29200.0,148,5.003946305945459,41472.27539458953,2051.8377932687918,7.626978404286595,0.49427437331671703,10.632056159761063,70.39915674611558,0,6.621405651764134,370.70577998753777,0.0,0.1268826935334101,4.051784947803305,0.0,2.4423470353692043,0,26836938.842392582,0.39977428477696186,0.47064935118177825,22.54309973695243,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Jardines del Pedregal,"Cantil, Jardines del Pedregal, Álvaro Obregón, Ciudad de México",34000000.0,4.0,4.0,8.0,552.0,3.8501476017100584,Álvaro Obregón,"Cantil, , Álvaro Obregón",19.323277,-99.198052,4682515.019944999,4942.430000000001,47.1,2306997.622427621,0.7734686799915437,120,7.838662436096747,0,8.654545787783606,0,7.376361149198975,0,8.938433900829693,0,6.915622213277101,0,2.302585092994046,1.0,alvaro obregon,0.06015392281974709,5.395165550476316,89,5.469031120905396,75,7.280826250811549,0,5.9575356023886785,17,0.34674329501915707,0.6448888887807874,0.6234663605477216,0.1630033949113958,0.5258390378725,0.0,61594.20289855073,171,5.147494476813453,37731.198115261046,6608.465228606032,8.796258026184985,0.0,10.523433434952608,66.45924954691563,0,6.315358001522335,0.0,0.0,0.0,3.6506582412937387,0.0,2.2512917986064953,2,21861033.82334577,0.6140343223526715,0.15350858058816788,-35.70284169604185,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Jardines del Pedregal,"Cercanía De Jardines Del Pedregal, Jardines del Pedregal, Álvaro Obregón, Ciudad de México",18499000.0,4.0,4.0,4.0,758.0,4.02535169073515,Álvaro Obregón,"Cercanía De , Jardines del Pedregal, Álvaro Obregón",19.35867,-99.20329,516897.41747473914,2671.6400000000003,23.862212943632567,592091.4318101639,2.6809097508236346,479,7.31789073739593,0,8.793353634571405,0,7.8204989754729555,0,8.323294450519487,0,7.579311222731407,0,2.3978952727983707,2.0,alvaro obregon,0.06015392281974709,5.9091980740955385,35,5.127287639206025,43,6.347245237464035,1,4.139397324590983,44,0.23563218390804597,0.47959120325665583,0.7152532468506814,0.4904670163239887,0.902179624446599,0.0,24405.013192612136,187,5.236441962829949,37078.05018453114,4404.255447578349,8.390553527058563,0.0,10.447920395629714,69.29062663390432,0,13.26400355479126,0.0,0.0,0.0,2.7300291078209855,0.2876820724517809,2.751535313041949,0,23681505.87322238,0.4080837672453579,0.10202094181133947,28.015059588206825,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Torres Lindavista,"Uruyen 0, Torres Lindavista, Gustavo A. Madero, Ciudad de México",18000000.0,4.0,5.0,7.0,750.0,3.4339872044851463,Gustavo A. Madero,"Uruyen 0, Torres Lindavista",19.512667,-99.1439837,875773.489583815,3627.593680154143,42.53371868978805,6471439.16045287,1.1920492960422828,519,7.269808280878221,0,9.836470377806158,0,6.60255734636911,0,6.97978480831833,0,7.416362562802414,0,2.0794415416798357,1.0,gustavo a. madero,0.04974209189481407,7.681125962087549,0,5.514061222103848,65,6.458410011394025,2,5.290958491998703,24,0.1743295019157088,0.013139703266957285,0.609989333951538,0.45099131125688097,0.7194827615361408,0.0,24000.0,21,3.091042453358316,33726.51720419736,8931.709099271053,9.09747499844206,0.829803447501769,10.379139530933946,68.72449315057457,0,6.621405651764134,622.3525856263268,0.0,0.14465922169092144,3.5115454388310208,0.6931471805599453,2.5649493574615367,1,22906730.11326698,0.3907659257280902,0.7200440670583493,27.2596117403721,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Bosque de las Lomas,"Bosque De Sauces, Bosque de las Lomas, Miguel Hidalgo, Ciudad de México",48000000.0,4.0,4.0,6.0,1000.0,2.6390573296152584,Miguel Hidalgo,"Bosque De Sauces, Bosque de las Lomas",19.4024459,-99.2476189,4811357.845021429,6795.919999999999,40.57142857142857,1612058.3022313286,0.8995000318899186,112,8.513119921004101,0,9.464417117395788,0,8.84009016063767,0,7.7463043515666286,0,8.655949111182595,0,0.6931471805599453,1.0,miguel hidalgo,0.13627761829254784,8.264166264219117,0,5.520242214619585,41,8.51569068153292,0,6.771129094792754,9,0.09578544061302682,0.00042540464334415176,0.6081151524103392,0.0019510914120401436,0.2340640681623434,0.0,48000.0,332,5.808142489980444,36781.63606586558,5250.9335417252405,8.566351581444156,0.8585849060226639,10.44391359516419,72.1544379653458,0,6.90875477931522,858.5849060226639,0.0,0.0822399335270751,3.068052935133617,0.0,1.7047480922384253,0,34022959.30204202,0.5650811310980347,0.7852089622915066,-29.11883478741245,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Lomas Altas,"Rosaleda, Lomas Altas, Miguel Hidalgo, Ciudad de México",46250000.0,4.0,4.0,4.0,1240.0,3.332204510175204,Miguel Hidalgo,"Rosaleda, Lomas Altas",19.3987243,-99.2264604,9288673.000488095,6922.8499999999985,36.19047619047619,17851839.35411162,0.8384996809923273,42,7.9146960805529964,0,9.289228310661025,0,8.466142827223967,0,6.216045556714199,0,8.306352010523904,0,0.6931471805599453,1.0,miguel hidalgo,0.13627761829254784,7.949659602899789,0,6.195634816648422,46,7.931228706953049,0,6.596705101419143,6,0.09961685823754789,0.0034574644153724074,0.37560937272021366,0.03089054880995055,0.29538908730625785,0.0,37298.3870967742,168,5.1298987149230735,45886.191322757644,4960.996948878439,8.509563549354024,0.8585849060226639,10.68417418036677,76.1105608410645,0,7.123672785204607,1064.6452834681033,0.0,0.08552953086815808,3.1780538303479458,0.0,1.3862943611198906,0,40710481.46030098,0.4419656048497799,0.7544300807294428,-11.977337383133012,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Bosques de las Lomas,"B De Granados, Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",42550000.0,4.0,5.0,3.0,1021.0,3.7376696182833684,Cuajimalpa de Morelos,"B De Granados, Bosques de las Lomas",19.35993,-99.29388,993234.1414838346,2536.13567669173,28.481203007518797,4181988.3120964537,1.2040983103306127,266,9.277528208099541,0,9.676757881480789,0,9.320802669044694,0,8.861225927178024,0,9.315867480989347,0,2.1972245773362196,3.0,cuajimalpa de morelos,0.06765864847381481,7.639616324174636,0,5.29172949735532,70,7.364520861835497,0,5.156786307402157,59,0.2471264367816092,0.015671804946466097,0.673428457783415,0.13911583016314064,0.7500045006145265,0.0,41674.82859941234,351,5.863631175598097,35048.20076659493,2140.973464231288,7.6694828626169,0.49427437331671703,10.438222822586697,72.3318401060824,0,20.78855031229095,504.6541351563681,0.0,0.12214826467022318,2.917770732084279,0.0,2.7568403652716422,0,27456925.5104673,0.5463936183726117,0.5073041845806907,-35.47138540430717,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Jardines del Pedregal,"Peñas, Jardines del Pedregal, Álvaro Obregón, Ciudad de México",39500000.0,4.0,5.0,4.0,1200.0,2.302585092994046,Álvaro Obregón,"Peñas, , Álvaro Obregón",19.3273061,-99.1952634,4388436.189524359,4942.429999999999,40.94871794871795,1513356.501383344,0.7338087863644629,78,7.6753143341731365,0,8.638805948608264,0,6.971508199593907,0,8.90593290524255,0,6.7593161058023545,0,1.9459101490553132,1.0,alvaro obregon,0.06015392281974709,5.70458031661043,142,5.195357110286953,111,7.008970925212926,2,5.197650590779692,20,0.5268199233716475,0.5496470707956532,0.6984685465881906,0.25110250422614666,0.7410073274371382,0.0,32916.666666666664,144,4.976733742420574,37147.82406600124,6075.118983496541,8.712121446061213,0.0,10.539140626471166,74.73209578452658,0,7.0909098220799835,0.0,0.0,0.0,4.034240638152395,0.6931471805599453,2.3978952727983707,2,41095012.117406406,0.47234807647032784,0.11808701911758196,4.038005360522546,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Lomas de Chapultepec I Sección,"Sierra Vertientes, Lomas de Chapultepec I Sección, Lomas de Chapultepec, Chapultepec, Miguel Hidalgo, Ciudad de México",35999500.0,4.0,2.0,5.0,783.0,3.9318256327243257,Miguel Hidalgo,"Sierra Vertientes, Lomas de Chapultepec I Sección, Lomas de Chapultepec, Chapultepec",19.41986,-99.2202,4502329.258573196,9565.839999999997,49.4639175257732,6294474.371707631,1.6782203973834768,97,8.016233962613716,0,9.382693528712114,0,8.361792153916628,0,7.765229254457274,0,7.750575068649391,0,0.6931471805599453,1.0,miguel hidalgo,0.13627761829254784,7.479058478725863,0,4.097600178926457,100,7.3801840242548105,0,5.651130064803266,18,0.2260536398467433,0.029038117438953112,0.8883483644270976,0.13484812713498665,0.6233243984153513,0.0,45976.372924648786,273,5.6131281063880705,47663.949541888855,2927.1559584560814,7.982128138162727,0.8585849060226639,10.753888639562733,71.66831245334565,0,6.664409020350408,672.2719814157458,0.0,0.1940862431238972,3.9318256327243257,0.0,2.302585092994046,0,32348352.54563416,0.4899173416120248,0.7664180149200042,-10.142217126254083,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Lomas del Pedregal,"Titanio, Lomas del Pedregal, Tlalpan, Ciudad de México",22500000.0,4.0,3.0,2.0,586.0,1.791759469228055,Tlalpan,"Titanio, Lomas del Pedregal",19.29707,-99.16787,609300.2699002898,2718.6227826086956,39.834782608695654,443175.3627112528,1.3890645544558216,345,8.03480870813719,0,7.499014442476644,0,7.369756195092668,0,9.371765017564972,0,7.030746753061442,0,2.772588722239781,2.0,tlalpan,0.07138999608667294,7.314646916637897,0,5.281194585146794,64,6.592538214935377,6,5.610240168378155,65,0.25862068965517243,0.04967355189399966,0.6762386774429382,0.40220711939552006,0.6352840371595039,0.0,38395.904436860066,301,5.71042701737487,33075.421470011395,8497.722733572435,9.047671164548708,0.3919311241687132,10.371455631878941,66.11828707097415,0,12.750049639656194,229.6716387628659,0.0,0.10136149762983962,3.106080330722856,1.0986122886681098,3.120895416507997,2,16434260.18307515,0.5388838214988445,0.428669298501246,-26.958843630777107,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Bosques de las Lomas,"Bosque De Jacarandas, Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",18000000.0,3.0,3.0,3.0,556.0,3.9318256327243257,Cuajimalpa de Morelos,"Bosque De Jacarandas, Bosques de las Lomas",19.35993,-99.29388,993234.1414838346,2536.13567669173,28.481203007518797,4181988.3120964537,1.2040983103306127,266,9.277528208099541,0,9.676757881480789,0,9.320802669044694,0,8.861225927178024,0,9.315867480989347,0,2.1972245773362196,3.0,cuajimalpa de morelos,0.06765864847381481,7.639616324174636,0,5.29172949735532,70,7.364520861835497,0,5.156786307402157,59,0.2471264367816092,0.015671804946466097,0.673428457783415,0.13911583016314064,0.7500045006145265,0.0,32374.10071942446,351,5.863631175598097,33959.86061645226,2140.973464231288,7.6694828626169,0.49427437331671703,10.438222822586697,65.99634478470232,0,18.96769571978185,274.81655156409465,0.0,0.12214826467022318,2.917770732084279,0.0,2.7568403652716422,0,17524127.9449429,0.4833989129015601,0.4915555082129278,-2.643733639206116,Estandar
Casas_Mudafy.xlsx,Casa en Venta en Lomas de Vista Hermosa,"Carlos Echanove, Lomas de Vista Hermosa, Cuajimalpa de Morelos, Ciudad de México",13990000.0,3.0,3.0,3.0,293.0,3.258096538021482,Cuajimalpa de Morelos,"Carlos Echanove, Lomas de Vista Hermosa",19.3721461,-99.2774945,1614375.5142296613,3070.6825423728815,29.822033898305083,9415962.190979918,1.030010446638306,236,9.059169979450594,0,9.581957919992444,0,9.149467309198576,0,8.51367006064681,0,9.192471991861511,0,2.5649493574615367,2.0,cuajimalpa de morelos,0.06765864847381481,7.4198469044151665,0,2.6129554342972714,105,8.214267064140168,0,4.0899907542815575,42,0.28160919540229884,0.03559478960361358,0.9750382257986195,0.009898862974913634,0.9067405715461456,0.0,47747.440273037544,168,5.1298987149230735,33462.568541332716,1205.279696217584,7.095296270976139,0.49427437331671703,10.44731535829372,59.37815019340485,0,11.367159534677363,144.8223913817981,0.0,0.13919220857769618,3.58351893845611,0.0,2.70805020110221,0,10519731.880033366,0.5269372937815617,0.5024401034329282,-24.805347533714322,Estandar
