colonia_oficial,gentrif_map_score_mean,gentrif_local_mean,price_m2_median,marginalidad_mean,score_15min_mean,n_registros,lat_centroide,lon_centroide,cat_mean_vus_200m_col,cat_mean_antiguedad_200m_col,cat_mean_ratio_construccion_200m_col,gentrification_index_alcaldia
c t m aragon ampliacion (u),0.7195493269855578,0.3887869654369243,17777.777777777777,1.0,0.32065217391304346,1,19.4558726,-99.053896,2423.4400000000005,39.13087934560327,1.6480323352975077,0.829803447501769
camino a san juan de aragon (pblo),0.7324704055394384,0.44047127965244665,24878.63827669903,4.0,0.40217391304347827,2,19.4658938,-99.086824,2612.6781395348835,38.01550387596899,1.3356589024143188,0.829803447501769
campestre aragon i,0.7538914796615652,0.526155576140954,29628.712871287127,5.0,0.21739130434782608,1,19.4845996,-99.0770254,2216.2552054794523,39.23972602739726,1.0938131916464369,0.829803447501769
campestre aragon ii,0.7249111147853857,0.410234116636236,20000.0,5.0,0.2391304347826087,1,19.4856,-99.0797574,2215.560000000001,34.09871244635193,1.6142497814977161,0.829803447501769
capultitlan,0.7670997048561295,0.5789884769192111,43965.51724137931,2.0,0.6195652173913043,1,19.4783568,-99.1336761,2833.73,19.455026455026456,3.4176160389597885,0.829803447501769
casas aleman (ampl) i,0.7431093483692122,0.48302705097154164,27419.354838709678,2.0,0.2903726708074534,7,19.476623985714287,-99.08123211428571,2164.1383702213284,44.59944556506685,1.365170575513463,0.829803447501769
cerro prieto,0.73844222478631,0.46435855663993325,26642.33576642336,3.0,0.5,3,19.4529212,-99.09734910000002,2150.42,46.97712418300654,1.7032157032432353,0.829803447501769
churubusco tepeyac,0.7233943662935424,0.40416712266886234,24226.80412371134,3.0,0.6086956521739131,1,19.4883345,-99.1360549,3697.1294724220616,50.354916067146284,1.7408368183951612,0.829803447501769
constitucion de la republica,0.7452618557750443,0.49163708059487043,31488.156177156176,2.0,0.49184782608695654,2,19.48118985,-99.0996253,2632.07,33.127403788152975,1.9978722408435048,0.829803447501769
ctm atzacoalco (u hab),0.7236962954712608,0.40537483937973606,24273.858921161827,4.0,0.3423913043478261,1,19.5079707,-99.1051266,1754.9263693270739,41.95148669796557,1.1265867892151429,0.829803447501769
ctm el risco (u hab),0.6957003677046146,0.29339112831315123,14864.864864864865,0.0,0.5,2,19.5114865,-99.0957625,1861.5700000000002,46.23746701846966,1.833802087229685,0.829803447501769
cuautepec el alto (pblo),0.7341584415798775,0.447223423814203,26927.083333333336,4.0,0.31929347826086957,4,19.557831475,-99.13510942500001,941.6523705179283,39.788880193511666,0.8417924364499528,0.829803447501769
cuchilla la joya,0.7347588270617552,0.44962496574171357,23437.5,4.0,0.6630434782608695,3,19.460573,-99.1095538,2150.419999999999,48.90736842105263,1.6709833144690573,0.829803447501769
defensores de la republica,0.777745699296319,0.6215724546799689,45652.19565217391,1.0,0.625,1,19.4762147,-99.1446777,2833.7300000000005,43.120996441281136,1.8805985171087194,0.829803447501769
del obrero,0.7444915157429519,0.4885557204665004,37790.39795918367,4.0,0.6358695652173914,2,19.500168549999998,-99.0920967,2079.2958018389627,40.313274469364956,1.514502058001091,0.829803447501769
dm nacional,0.7503746745835403,0.5120883558288539,31539.473684210527,1.0,0.5661231884057971,6,19.476313533333332,-99.09606723333333,2481.826367818938,23.455608475335087,2.161301743610201,0.829803447501769
ejidos san juan de aragon 1a seccion (u hab),0.7532817379036069,0.5237166091091199,32352.941176470587,1.0,0.48007246376811596,3,19.46941573333333,-99.09189126666666,2424.1675935828866,33.77627263863858,1.5383669561630875,0.829803447501769
el arbolillo,0.7765520629426885,0.6167979092654472,43750.0,1.0,0.16847826086956522,1,19.5364748,-99.1413736,1024.2923809523809,36.03663003663004,1.0109560822014396,0.829803447501769
el arbolillo 1 (u hab),0.7366635764274866,0.4572439632046391,22932.1231884058,2.0,0.29891304347826086,2,19.53160585,-99.148467,1940.22896373057,52.093942402277435,2.9387055231522927,0.829803447501769
el arbolillo 2 (u hab),0.7547137988593604,0.5294448529321347,30714.096153846152,4.0,0.1956521739130435,1,19.5351421,-99.1446075,1292.68,56.505405405405405,0.7313468992248061,0.829803447501769
el arbolillo 3 (u hab),0.7426277590330763,0.4811006936269981,25961.53846153846,1.0,0.1793478260869565,1,19.5377176,-99.1438737,1267.6449065071056,31.024682124158563,1.4439069543525787,0.829803447501769
el coyol (u hab),0.7311939026196004,0.43536526797309416,22735.431235431235,2.0,0.5570652173913044,2,19.4896903,-99.08871255,2381.174192982456,39.94855687606112,1.1739826904201431,0.829803447501769
el olivo,0.7358304273246169,0.4539113667931605,21929.201244813277,1.0,0.35190217391304346,4,19.473142324999998,-99.087567275,2279.440389186078,44.10446573672806,2.2981435929584455,0.829803447501769
emiliano zapata (ampl),0.7366240223627654,0.4570857469457545,24090.909090909092,2.0,0.6847826086956522,1,19.4640799,-99.1057341,2150.4199999999996,49.095238095238095,1.9372523088409008,0.829803447501769
estanzuela,0.7577182860839127,0.5414628018303438,33333.333333333336,4.0,0.3641304347826087,1,19.4904707,-99.1116816,2366.730458515284,37.9235807860262,1.8692664581774883,0.829803447501769
estrella,0.7421870855615492,0.47933799974088986,27795.03105590062,2.0,0.708498023715415,11,19.47432519090909,-99.11736789999999,3003.6863353379067,49.024495970211866,2.0005114647409354,0.829803447501769
fernando casas aleman,0.6999176395074408,0.31026021552445593,14105.960264900663,2.0,0.43478260869565216,1,19.4524617,-99.095663,2211.0691666666667,47.32471264367816,1.7006795212197943,0.829803447501769
ferrocarrilera insurgentes,0.7190154739391053,0.38665155325111394,17857.14285714286,2.0,0.5597826086956522,1,19.4821229,-99.0927692,2621.280183908046,24.998850574712645,2.0161787922893835,0.829803447501769
fovissste cuchilla (u hab),0.753008814264147,0.522624914551281,29629.62962962963,1.0,0.34782608695652173,1,19.4725481,-99.087395,2310.0712463768114,44.80724637681159,2.708715560020597,0.829803447501769
gabriel hernandez,0.7066831561852605,0.3373222822357345,20075.757575757576,4.0,0.1793478260869565,1,19.4994284,-99.1032894,1557.35,33.923809523809524,0.763616807911919,0.829803447501769
