source,title,location,price,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud
Casas_iad_inmobiliaria.xlsx,EX HACIENDA COAPA TENORIOS VENTA DE CASA,"Ex Hacienda Coapa, CP 14308, Ciudad de México",7850000.0,3.0,3.0,4.0,182.0,30.0,Tlalpan,"Ex Hacienda , CP 14308",19.4183,-99.1263
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA CUAJIMALPA CDMX,"Cuajimalpa, CP 05000, Ciudad de México",4600000.0,3.0,3.0,2.0,130.0,30.0,Cuajimalpa de Morelos,CP 05000,19.3572429,-99.2996246
Casas_iad_inmobiliaria.xlsx,CASA EN VENTA EN NARVARTE ORIENTE,"Narvarte Poniente, CP 03020, Ciudad de México",10795000.0,3.0,3.0,3.0,187.0,60.0,Benito Juárez,"Poniente, CP 03020",19.3922258,-99.1577068
Casas_iad_inmobiliaria.xlsx,Casa en Venta en Polanco,"Polanco II Sección, CP 11530, Ciudad de México",39700000.0,3.0,2.0,4.0,303.0,50.0,Miguel Hidalgo,"II Sección, CP 11530",19.345,-99.1794
Casas_iad_inmobiliaria.xlsx,VENTA CASA LOMAS DE CHAPULTEPEC,"Lomas de Chapultepec II Sección, CP 11000, Ciudad de México",36630000.0,3.0,3.0,5.0,593.0,30.0,Miguel Hidalgo,"II Sección, CP 11000",19.345,-99.1794
Casas_iad_inmobiliaria.xlsx,"Vendo Casa con Terraza en Lomas de las Aguilas, Alvaro Obregón  CDMX","Lomas de las Águilas, CP 01730, Ciudad de México",7800000.0,2.0,2.0,2.0,243.0,4.0,Álvaro Obregón,"Lomas de , CP 01730",19.3667,-99.2
Casas_iad_inmobiliaria.xlsx,Residencia bello jardin San Angel INN,"San Ángel Inn, CP 01060, Ciudad de México",36997000.0,3.0,3.0,3.0,480.0,6.0,Álvaro Obregón,"Inn, CP 01060",19.3504188,-99.1975317
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA EN TORIELLO GUERRA - TLALPAN, CDMX","Toriello Guerra, CP 14050, Ciudad de México",9950000.0,2.0,2.0,3.0,308.0,45.0,Tlalpan,CP 14050,19.2944916,-99.1628698
Casas_iad_inmobiliaria.xlsx,"PRECIOSA RESIDENCIA EN SAN ÁNGEL CON ESTUDIO DE GRABACIÓN - ÁLVARO OBREGÓN, CDMX","San Ángel, CP 01000, Ciudad de México",19990000.0,4.0,4.0,6.0,550.0,10.0,Álvaro Obregón,CP 01000,19.3443673,-99.1924473
Casas_iad_inmobiliaria.xlsx,"CASA EN VENTA JARDINES DEL PEDREGAL, ALVARO OBREGON","Jardines del Pedregal, CP 01900, Ciudad de México",25000000.0,5.0,3.0,4.0,875.0,10.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,Hermosa Casa en Prados Coapa,"Prado Coapa 3A Sección, CP 14357, Ciudad de México",15670000.0,4.0,3.0,4.0,506.0,35.0,Tlalpan,"Prado  3A Sección, CP 14357",19.4183,-99.1263
Casas_iad_inmobiliaria.xlsx,Se vende hermosa casa Porfiriana en la Roma,"Roma Norte, CP 06700, Ciudad de México",30000000.0,5.0,2.0,2.0,350.0,18.5,Cuauhtémoc,CP 06700,19.4183227,-99.1625655
Casas_iad_inmobiliaria.xlsx,Narvarte. Oportunidad Única. Vive o Desarrolla en Zona de Alta Plusvalía. HC 6/20/Z,"Narvarte Poniente, CP 03020, Ciudad de México",11300000.0,5.0,3.0,3.0,287.0,38.0,Benito Juárez,"Poniente, CP 03020",19.3922258,-99.1577068
Casas_iad_inmobiliaria.xlsx,Casa en Venta en Jardines del Pedregal,"Jardines del Pedregal, CP 01900, Ciudad de México",28500000.0,4.0,4.0,3.0,792.0,50.0,Álvaro Obregón,CP 01900,19.3197812,-99.2073801
Casas_iad_inmobiliaria.xlsx,"Preciosa Residencia en Lomas de las Águilas, Álvaro Obregón","Lomas de las Águilas, CP 01730, Ciudad de México",16450000.0,3.0,4.0,3.0,600.0,28.0,Álvaro Obregón,"Lomas de , CP 01730",19.3667,-99.2
Casas_iad_inmobiliaria.xlsx,Casa en Condominio en Venta en Cuajimalpa,"Cuajimalpa, CP 05000, Ciudad de México",17500000.0,4.0,3.0,2.0,746.0,40.0,Cuajimalpa de Morelos,CP 05000,19.3572429,-99.2996246
Casas_iad_inmobiliaria.xlsx,"Venta de Casa, Nicolás San Juan, colonia Del Valle, Benito Juárez, Ciudad de México","Del Valle Sur, CP 03104, Ciudad de México",13450000.0,3.0,3.0,4.0,326.0,50.0,Benito Juárez,"Sur, CP 03104",19.3863183,-99.1736673
