precio_mxn,publicado_reciente,tipo_inmueble,recamaras,banos,m2,ubicacion,colonia,url,latitud,longitud
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2874606383-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5132127684-venta-departamento-2-ambientes-guadalupe-insurgentes-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-5262373734-bodega-venta-suelo-industrial-buen-estado-en-gustavo-a-madero-cod-bgv284-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-5287389720-edificio-en-venta-en-calzada-de-guadalupe-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5209618438-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-2911667335-casa-en-venta-norte-90-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2874594591-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-3652327814-venta-de-hospital-en-gustavo-a-madero-en-obra-negra-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4975301440-departamento-en-venta-joyas-vallejo-galaxias-unidad-c-se-acepta-credito-infonavit-credito-bancario-y-efectivo-informes-55-8642-76048-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5209618458-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5209618442-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2874535707-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2689310789-preventa-de-departamentos-en-acueducto-ticoman-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2907464873-departamento-en-venta-col-bondojito-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2718608817-departamento-en-venta-en-unidad-habitacional-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5402893598-bonita-y-comoda-casa-en-loma-de-la-palma-_JM,,
