source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url
mercadolibre_rentas,Departamento en Renta,"Av. De Los Insurgentes Sur 454, Hipódromo, Ciudad De México, Roma Sur, Cuauhtémoc, Distrito Federal",23500.0,1,1,1,34.0,30.0,Hipódromo,Av. De Los Insurgentes Sur 454,19.4093714,-99.1712126,https://departamento.mercadolibre.com.mx/MLM-2831428887-renta-departamento-roma-sur-cdmx-sin-aval-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=13&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Av. Insurgentes Sur 609, Nápoles, Ciudad De México, Nápoles, Benito Juárez, Distrito Federal",23300.0,1,1,1,40.0,30.0,Nápoles,Av. Insurgentes Sur 609,19.3910468,-99.1732855,https://departamento.mercadolibre.com.mx/MLM-2831356023-departamento-en-renta-en-napoles-cdmx-a-2-calles-del-wtc-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=14&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Solidaridad Nacional, Gustavo A. Madero, Distrito Federal",15000.0,3,2,1,102.0,30.0,Gustavo A. Madero,Solidaridad Nacional,19.5337832,-99.1536919,https://departamento.mercadolibre.com.mx/MLM-2903585493-exclusivo-departamento-en-renta-solidaridad-nacional-gustavo-a-madero-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=15&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Polanco, Miguel Hidalgo, Distrito Federal",65000.0,1,1,1,109.0,30.0,Miguel Hidalgo,Polanco,19.43353,-99.190915,https://departamento.mercadolibre.com.mx/MLM-2855975387-departamento-en-renta-frente-a-parque-lincoln-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Av. Ejército Nacional Mexicano 453, Chapultepec Morales, Granada, Ciudad De México, Polanco, Miguel Hidalgo, Distrito Federal",26500.0,10,1,2,60.0,30.0,Chapultepec Morales,Av. Ejército Nacional Mexicano 453,19.4344164,-99.1866064,https://departamento.mercadolibre.com.mx/MLM-2814423161-renta-departamento-1-recamara-polanco-con-balcon-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"C. Tecnología De Materiales, Solidaridad Nacional, Ciudad De México, Solidaridad Nacional, Gustavo A. Madero, Distrito Federal",15000.0,3,2,1,102.0,30.0,Solidaridad Nacional,C. Tecnología De Materiales,19.5308387,-99.1538618,https://departamento.mercadolibre.com.mx/MLM-2914244683-estrena-departamento-de-102-m2-con-3-recamaras-y-excelente-iluminacion-en-gam-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Santa Cruz Atoyac, Benito Juárez, Distrito Federal",28000.0,1,1,1,50.0,30.0,Benito Juárez,Santa Cruz Atoyac,19.3698638,-99.1609858,https://departamento.mercadolibre.com.mx/MLM-2874535551-depto-de-lujo-en-city-towers-black-con-mas-de-30-amenidades-50-m2-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=21&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Rodrigo Cifuentes 1 - 300, San José Insurgentes, Ciudad De México, San José Insurgentes, Benito Juárez, Distrito Federal",33500.0,3,4,2,185.0,30.0,San José Insurgentes,Rodrigo Cifuentes 1 - 300,19.369517,-99.1856393,https://departamento.mercadolibre.com.mx/MLM-5264965928-departamento-en-renta-col-san-jose-insurgentes-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=22&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"31,500",31500.0,3,2,1,120.0,30.0,500,31,19.1954733,-99.1666036,https://departamento.mercadolibre.com.mx/MLM-5199689610-renta-departamento-colonia-del-valle-120-m2-piso-5-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=23&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
mercadolibre_rentas,Departamento en Renta,"Coahuila, Cuajimalpa, Cuajimalpa De Morelos, Distrito Federal",9200.0,1,1,1,25.0,30.0,Cuajimalpa de Morelos,Coahuila,19.3517477,-99.2975093,https://departamento.mercadolibre.com.mx/MLM-5080650458-departamento-en-cuajimalpa-cuajimalpa-de-morelos-con-1-recamara-25-m-id-166941-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=24&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=false
mercadolibre_rentas,Departamento en Renta,"Tolnahuac, San Simón Tolnahuac, Ciudad De México, San Simón Tolnáhuac, Cuauhtémoc, Distrito Federal",14500.0,2,1,1,65.0,30.0,San Simón Tolnahuac,Tolnahuac,19.4598779,-99.1440685,https://departamento.mercadolibre.com.mx/MLM-2883711759-departamento-en-renta-col-san-simon-tolnahuac-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=25&type=item&tracking_id=5dc8cd49-5262-4bba-bfb9-733e5e9a8e19&price_drop=not_apply
