source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url
rentola_rentas,Departamento en Renta,"Dulcería Lemar, Avenida Clavería 172, Colonia Clavería, 02080 Mexico City, Mexico",12000.0,2,0,1,185.0,30.0,Colonia Clavería,Avenida Clavería 172,19.4653314,-99.1806334,https://rentola.mx/listings/av-claveria-224-depto-106-col-claveria-pa493b4
rentola_rentas,Departamento en Renta,"Calle Checoslovacos, Colonia Zenón Delgado, 01130 Mexico City, CMX, Mexico",3500.0,1,0,0,500.0,30.0,No Identificada,Colonia Zenón Delgado,19.3898887,-99.2144166,https://rentola.mx/listings/renta-recamara-bano-independiente-3-500-zona-santa-fe-p12dc89
rentola_rentas,Departamento en Renta,"Calle Colector 13, Colonia Churubusco Tepeyac, 07730 Mexico City, Mexico",3500.0,1,0,0,350.0,30.0,Colonia Churubusco Tepeyac,Colonia Churubusco Tepeyac,19.4868547,-99.1357347,https://rentola.mx/listings/rento-habitacion-compartida-para-dama-lindavista-todo-incluido-p1c97db
rentola_rentas,Departamento en Renta,"Cerrada Nicolás Bravo, Iztapalapa, 09210 Mexico City, CMX, Mexico",3200.0,1,0,0,178.0,30.0,Iztapalapa,Iztapalapa,19.3577446,-99.0935577,https://rentola.mx/listings/departamento-col-tepalcates-p849e3f
rentola_rentas,Departamento en Renta,"Calle Doctor Atl 278, Santa María la Ribera, 06400 Mexico City, CMX, Mexico",5500.0,1,0,1,289.0,30.0,No Identificada,Santa María la Ribera,19.4537412,-99.1553027,https://rentola.mx/listings/excelente-ubicacion-amueblado-y-ambiente-agradable-mujer-pac25eb
rentola_rentas,Departamento en Renta,"Benito Juárez, Mexico City, Mexico",13000.0,3,0,1,325.0,30.0,Benito Juárez,Mexico City,19.3829715,-99.1800979,https://rentola.mx/listings/penthouse-en-renta-en-col-del-valle-nte-benito-juarez-pd6dfb0
rentola_rentas,Departamento en Renta,"Calle Colima 383, Condesa, 06700 Mexico City, Mexico",54000.0,2,0,1,325.0,30.0,Condesa,Condesa,19.4148639,-99.176429,https://rentola.mx/listings/garden-duplex-con-terraza-y-estudio-en-el-corazon-de-condesa-pb1d207
rentola_rentas,Departamento en Renta,"Cerrada Cerrito, Pueblo La Candelaria, 04380 Mexico City, CMX, Mexico",3800.0,1,0,0,543.0,30.0,No Identificada,Pueblo La Candelaria,19.3324301,-99.1487126,https://rentola.mx/listings/recamara-amueblada-pd7c1de
rentola_rentas,Departamento en Renta,"Calle Ingenieros Civiles, Colonia Nueva Rosita, 09420 Mexico City, CMX, Mexico",3000.0,1,0,0,231.0,30.0,No Identificada,Colonia Nueva Rosita,19.3760526,-99.1055949,https://rentola.mx/listings/rento-cuarto-amueblado-pc82750
rentola_rentas,Departamento en Renta,"Calle 10, Colonia Cristo Rey, 01160 Mexico City, CMX, Mexico",2900.0,1,0,0,483.0,30.0,No Identificada,Colonia Cristo Rey,19.3906556,-99.2012855,https://rentola.mx/listings/se-renta-habitacion-solo-para-mujeres-pd88ebf
