tipo_inmueble,titulo,precio_mxn,recamaras,banos,m2,colonia,ubicacion,publicado_reciente,url
Casa,,14000000,11,9,549,Av. La Rioja 23,"Av. La Rioja 23, San Pedro Zacatenco, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5030481566-casa-en-venta-san-pedro-zacatenco-gam-ciudad-de-mexico-_JM
Terreno,,4800000,,,275,Salaverry,"Salaverry, San Pedro Zacatenco 135, Residencial Zacatenco, Gustavo A. Madero, Distrito Federal",False,https://terreno.mercadolibre.com.mx/MLM-5023273268-terreno-en-venta-en-san-pedro-zacatenco-gustavo-a-maderocdmx-_JM
Departamento,Venta Departamentos San Juan De Aragon I Seccion T-df0237-0009,3360000,3,2,112,AV OCEANIA,"AV OCEANIA, San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5216511730-venta-departamentos-san-juan-de-aragon-i-seccion-t-df0237-0009-_JM
Departamento,,2997274,2,1,80,Santa Isabel Tola,"Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2874594613-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM
Casa,Venta Casas San Juan De Aragon Vi Seccion T-df0238-0044,7650000,3,1,290,AV. 499,"AV. 499, San Juan De Aragón VI Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2850325401-venta-casas-san-juan-de-aragon-vi-seccion-t-df0238-0044-_JM
Departamento,Venta Departamentos Tepeyac Insurgentes T-df0215-0091,3090000,3,2,80,CALZADA DE LOS MISTERIOS,"CALZADA DE LOS MISTERIOS, Tepeyac Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2742770449-venta-departamentos-tepeyac-insurgentes-t-df0215-0091-_JM
Casa,,6550000,5,3,200,Poniente 6 39,"Poniente 6 39, Cuchilla Del Tesoro, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2740063131-casa-en-venta-en-colonia-cuchilla-del-tesoro-gustavo-a-madero-ciudad-de-mexico-_JM
Edificio,,8950000,,7,322,Granate,"Granate, Estrella, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2781899731-edificio-en-venta-en-estrella-gam-gustavo-a-madero-_JM
Bodega,,10000000,,,750,Defensores De La República,"Defensores De La República, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2413016227-bodega-750m2-zona-vallejo-_JM
Casa,Venta Casas San Juan De Aragon I Seccion T-df0227-0045,6500000,6,3,315,AV. 527,"AV. 527, San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2875576339-venta-casas-san-juan-de-aragon-i-seccion-t-df0227-0045-_JM
Departamento,,4100000,3,1,143,Sin Calle,"Sin Calle, Lindavista Sur, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2872701661-departamento-en-venta-en-lindavista-_JM
Casa,,4500000,6,5,361,1 161,"1 161, San José De La Escalera, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5030411210-casa-en-venta-en-esquina-san-jose-de-la-escalera-gustavo-a-madero-cdmx-_JM
Casa,Venta Casas Guadalupe Tepeyac T-df0219-0098,8500000,3,3,310,PTO. DE MAZATLAN,"PTO. DE MAZATLAN, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2867492575-venta-casas-guadalupe-tepeyac-t-df0219-0098-_JM
Casa,,5300000,2,1,220,Ampliación Emiliano Zapata,"Ampliación Emiliano Zapata, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2748820599-casa-en-venta-en-gustavo-a-madero-_JM
Casa,Venta Casas Guadalupe Insurgentes T-df0024-0428,7200000,4,3,158,AURELIO LEYVA,"AURELIO LEYVA, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5338088034-venta-casas-guadalupe-insurgentes-t-df0024-0428-_JM
Edificio,,120000000,3,1,1400,Ciudad De México,"Ciudad De México, CDMX, México, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2872305943-edificio-en-leyes-de-reforma-3a-seccion-iztapalapa-ciudad-de-mexico-crb-902-ed-_JM
Casa,Venta Casas San Juan De Aragon Ii Seccion T-df0227-0044,7200000,7,4,200,AV. 547,"AV. 547, San Juan De Aragón II Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5165206228-venta-casas-san-juan-de-aragon-ii-seccion-t-df0227-0044-_JM
Casa,Venta Casas San Juan De Aragon Ii Seccion T-df0227-0043,5200000,3,2,130,AV. 553,"AV. 553, San Juan De Aragón II Sección, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5100001724-venta-casas-san-juan-de-aragon-ii-seccion-t-df0227-0043-_JM
Bodega,,10000000,,,750,Nueva Industrial Vallejo,"Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-3959046582-bodega-750m2-zona-vallejo-_JM
Departamento,Venta Departamentos Industrial T-df0024-0426,2300000,1,1,86,SANTA GERTRUDIS,"SANTA GERTRUDIS, Industrial, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5338100142-venta-departamentos-industrial-t-df0024-0426-_JM
Casa,,8740000,5,3,320,Norte 74,"Norte 74, La Joya, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5058050752-casa-en-venta-colonia-la-joya-gustavo-a-madero-ciudad-de-mexico-_JM
Casa,,10400000,9,5,402,Jorge Bizet,"Jorge Bizet, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2798110137-casa-en-venta-colonia-vallejo-_JM
Casa,¡oro Puro A Pasos De La Villa! Propiedad Con Potencial Ilimitado Y Ubicación Estratégica,17999998,8,9,504,Martha 64,"Martha 64, Guadalupe Tepeyac, Gustavo A. Madero, 07840 Ciudad De México, CDMX, Mexico, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2714293347-oro-puro-a-pasos-de-la-villa-propiedad-con-potencial-ilimitado-y-ubicacion-estrategica-_JM
Casa,,25245000,3,3,,Lindavista Sur,"Lindavista Sur, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-4977935754-casa-con-uso-de-suelo-mixto-casa-y-oficinas-de-898m2-en-lindavista-gustavo-a-madero-ciudad-d-_JM
Bodega,,4890000,,,180,Norte 66 A,"Norte 66 A, Cuchilla La Joya, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2798153511-bodega-en-venta-colonia-cuchilla-la-joya-_JM
