titulo,precio,ubicacion,recamaras,banos,m2,url,datos_brutos
,"MXN2,800,000",,,,,https://departamento.mercadolibre.com.mx/MLM-5127539284-venta-departamentos-san-bartolo-atepehuacan-t-df0217-0104-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=48&type=item&tracking_id=e20e409b-0292-4bd1-a406-a23176d1cd68&price_drop=false,"Departamento en venta | Venta Departamentos San Bartolo Atepehuacan T-df0217-0104 | MXN | 2,800,000 | 2 recámaras | 1 baño | 70 m² construidos | PONIENTE 112, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal"
,"MXN3,200,000",,,,,https://casa.mercadolibre.com.mx/MLM-2865083745-venta-casa-4-ambientes-zona-escolar-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Venta Casa 4 Ambientes Zona Escolar | IAD México | MXN | 3,200,000 | 4 recámaras | 1 baño | 126 m² construidos | MAESTRO RURAL, 8, Zona Escolar, Gustavo A. Madero, Distrito Federal"
,"MXN6,000,000",,,,,https://casa.mercadolibre.com.mx/MLM-5357382918-casa-en-villa-de-aragon-gustavo-a-madero-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Casa En Villa De Aragon, Gustavo A. Madero | MXN | 6,000,000 | 6 recámaras | 3 baños | 287 m² construidos | Villa De Aragón, Gustavo A. Madero, Distrito Federal"
,"MXN4,799,999",,,,,https://casa.mercadolibre.com.mx/MLM-4824317562-venta-casas-vallejo-t-df0236-0032-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Venta Casas Vallejo T-df0236-0032 | MXN | 4,799,999 | 4 recámaras | 3 baños | 319 m² construidos | LEON CAVALLO, Vallejo, Gustavo A. Madero, Distrito Federal"
,"MXN4,200,000",,,,,https://terreno.mercadolibre.com.mx/MLM-4670351106-terreno-en-venta-colonia-la-candelaria-ticoman-en-gustavo-a-madero-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Terreno en venta | Terreno En Venta Colonia La Candelaria Ticomán En Gustavo A. Madero | MXN | 4,200,000 | 805 m² de terreno | Avenida Río De Los Remedios No. 164, La Candelaria Ticoman, Gustavo A. Madero, Distrito Federal"
,"MXN3,200,000",,,,,https://casa.mercadolibre.com.mx/MLM-2782080571-venta-casas-lindavista-sur-t-df0217-0080-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Venta Casas Lindavista Sur T-df0217-0080 | MXN | 3,200,000 | 10 recámaras | 4 baños | 190 m² construidos | AV DEL TANQUE II, Lindavista Sur, Gustavo A. Madero, Distrito Federal"
,"MXN1,400,000",,,,,https://departamento.mercadolibre.com.mx/MLM-4789167488-venta-departamentos-ex-ejido-san-juan-de-aragon-sector-32-t-df0237-0015-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Departamento en venta | Venta Departamentos Ex Ejido San Juan De Aragon Sector 32 T-df0237-0015 | MXN | 1,400,000 | 2 recámaras | 1 baño | 47 m² construidos | PUERTO OPORTO, San Juan De Aragón I Sección, Gustavo A. Madero, Distrito Federal"
,"MXN39,980,000",,,,,https://casa.mercadolibre.com.mx/MLM-5058128858-clinica-en-venta-colonia-lindavista-gustavo-a-madero-ciudad-de-mexico-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=7&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Clinica En Venta, Colonia Lindavista, Gustavo A. Madero, Ciudad De México. | MXN | 39,980,000 | 6 baños | 863 m² construidos | Lima, Colonia Lindavista Norte, Gustavo A. Madero, Distrito Federal"
,"MXN8,750,000",,,,,https://casa.mercadolibre.com.mx/MLM-5030537858-casa-en-venta-colonia-san-bartolo-atepehuacan-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=8&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Casa en venta | Casa En Venta Colonia San Bartolo Atepehuacan | MXN | 8,750,000 | 4 recámaras | 4 baños | 306 m² construidos | Puente De Calderón, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal"
,"MXN5,850,000",,,,,https://inmueble.mercadolibre.com.mx/MLM-2470339465-excelente-propiedad-comercial-en-aragon-la-villa-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=9&type=item&tracking_id=e09b1b4b-4e1a-41ab-8bb9-c20d1ec0bdd7&price_drop=not_apply,"Local comercial en venta | Excelente Propiedad Comercial En Aragon La Villa | MXN | 5,850,000 | 2 baños | 241 m² construidos | 5 De Febrero No.34, Aragón La Villa, Gustavo A. Madero, Distrito Federal"
