SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
6998c053a17c4c003a9e1e04,"Departamento de 1 recámara en renta, Río Papaloapan col. Juárez, Cuauhtémoc",24100,50,1,1,0,"Río papaloapan, Cuauhtémoc",Cuauhtémoc,6,https://homie.mx/pub/6998c053a17c4c003a9e1e04
652f31dc702da30050905354,Departamento de 2 habitaciones con baño dentro de cada habitación.,24400,64,2,2,0,"Privada antonio maceo, Tacubaya",Departamento de 2 habitaciones con baño dentro de cada habitación.,6,https://homie.mx/pub/652f31dc702da30050905354
620ebbb78b4da80045a6f8ab,Departamento de 2 habitaciones con baño dentro de cada habitación.,24400,65,2,2,0,"Avenida revolución, Tacubaya",Departamento de 2 habitaciones con baño dentro de cada habitación.,6,https://homie.mx/pub/620ebbb78b4da80045a6f8ab
61f2f66ca7226e004685043d,"Departamento de 2 habitaciones y 2 baños, con servicios incluidos*",24400,68,2,2,0,"Avenida revolución, Tacubaya",con servicios incluidos*,6,https://homie.mx/pub/61f2f66ca7226e004685043d
6208058bfdc09d0045ad21db,"Departamento en Renta en High Park Santa Fe, CMDX",24940,72,1,1,0,"Avenida santa fe, Santa fe",CMDX,6,https://homie.mx/pub/6208058bfdc09d0045ad21db
68222ff76496c3003b44ebef,"Studio Plus en renta en Roma Sur, CDMX",25730,41,1,1,0,"Avenida insurgentes sur, Roma sur",Studio Plus en renta en Roma Sur,6,https://homie.mx/pub/68222ff76496c3003b44ebef
6939b6decb81f8003b4ccc2f,Studio Panorámico con amenidades en Napoles.,25930,36,1,1,0,"Avenida insurgentes sur, Nápoles",Studio Panorámico con amenidades en Napoles.,6,https://homie.mx/pub/6939b6decb81f8003b4ccc2f
6999296ad35b8fe221bdde55,Departamento de 2 recámaras 1 baño en Vitant Polanco,26000,76,2,1,0,"Lago alberto, Anáhuac i sección",Departamento de 2 recámaras 1 baño en Vitant Polanco,6,https://homie.mx/pub/6999296ad35b8fe221bdde55
69992db1d35b8fe221bde034,Departamento de 2 recámaras 1 baño en Vitant Polanco,26000,76,2,1,0,"Lago alberto, Anáhuac i sección",Departamento de 2 recámaras 1 baño en Vitant Polanco,6,https://homie.mx/pub/69992db1d35b8fe221bde034
69992131d35b8fe221bdda89,Departamento de 2 recámaras,26000,76,2,1,0,"Lago alberto, Anáhuac i sección",Departamento de 2 recámaras,7,https://homie.mx/pub/69992131d35b8fe221bdda89
681d3534cb1440003b1bb4bf,Studio Alcoba con amenidades de lujo en Napoles.,26230,60,1,1,0,"Avenida insurgentes sur, Nápoles",Studio Alcoba con amenidades de lujo en Napoles.,7,https://homie.mx/pub/681d3534cb1440003b1bb4bf
69b5b22321ca56003a360e0c,"Departamento estilo Pent House en Renta, Naucalpan Estado de México",27500,175,3,4,0,"Camino arenero, San josé río hondo",Naucalpan Estado de México,7,https://homie.mx/pub/69b5b22321ca56003a360e0c
