latitud,longitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,is_luxury,tipologia,cuadrante_soc,gentrification_index,marginalidad_score,seg_transit,accesibilidad_transit
19.4326296,-99.1331785,Cuauhtémoc,30000.0,333.3333333333333,90.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,331.00531079168263
19.4379452,-99.1624218,Cuauhtémoc,19200.0,505.2631578947368,38.0,1,1.0,0,Studio/Micro,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,574.0132665438462
19.3718796,-99.157701,Benito Juárez,32000.0,237.03703703703704,135.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.933319961735651,1.0,Alta_Accesibilidad,222.7089106297116
19.3656187,-99.1899364,Benito Juárez,20000.0,327.8688524590164,61.0,2,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,717.1769585281189
19.4326296,-99.1331785,Cuauhtémoc,35600.0,418.8235294117647,85.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,3.0,Alta_Accesibilidad,331.00531079168263
19.3907336,-99.1562478,Narvarte Poniente,28000.0,311.1111111111111,90.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,484.9820491735335
19.4362674,-99.2004025,Miguel Hidalgo,85000.0,485.7142857142857,175.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Media_Accesibilidad,1189.0248519358397
19.3718796,-99.157701,Benito Juárez,27000.0,317.6470588235294,85.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Alta_Accesibilidad,222.7089106297116
19.3865976,-99.2651314,Cuajimalpa de Morelos,28500.0,206.52173913043478,138.0,2,2.0,0,Amplio_Ejecutivo,AltaMarg_BajaGentrif,0.49427437331671703,2.0,Baja_Accesibilidad,7561.408566643877
19.4314177,-99.1589364,Tabacalera,50000.0,500.0,100.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,403.55412291234467
19.3771699,-99.2597597,Palo Alto,42200.0,453.76344086021504,93.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Baja_Accesibilidad,7270.714476773741
19.3983786,-99.1583477,Narvarte Poniente,30000.0,333.3333333333333,90.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,536.9561289740113
19.324088,-99.2347487,San Jerónimo Lídice,21600.0,360.0,60.0,1,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Baja_Accesibilidad,5513.227026007586
19.4330969,-99.1698262,Cuauhtémoc,29000.0,325.8426966292135,89.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Media_Accesibilidad,985.4677342869692
19.3896634,-99.1738081,Benito Juárez,26000.0,361.1111111111111,72.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,1006.3491602454259
19.3601941,-99.1668669,Benito Juárez,42000.0,466.6666666666667,90.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.933319961735651,1.0,Media_Accesibilidad,863.2139207818312
19.3987308,-99.144843,Álamos,18000.0,257.14285714285717,70.0,1,1.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,568.4513959490007
19.4336459,-99.1872682,Polanco,84000.0,280.0,300.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,600.3864755100269
19.3481526,-99.2018808,Atlamaya,48500.0,323.3333333333333,150.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,1796.6864905087216
19.2906711,-99.169545,Tlalpan,33000.0,161.76470588235293,204.0,3,2.0,0,Amplio_Ejecutivo,AltaMarg_BajaGentrif,0.3919311241687132,2.0,Baja_Accesibilidad,2497.968342109382
19.43353,-99.190915,Miguel Hidalgo,89000.0,268.8821752265861,331.0,3,2.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Alta_Accesibilidad,444.2627964713553
19.4005527,-99.2453489,Miguel Hidalgo,36000.0,138.46153846153845,260.0,4,4.0,0,Amplio_Familiar,BajaMarg_AltaGentrif,0.8585849060226639,1.0,Baja_Accesibilidad,5374.835808851259
19.3413313,-99.2555372,Villa Verdún,28000.0,112.0,250.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,7088.735471210689
19.3598623,-99.1934907,Álvaro Obregón,30000.0,384.61538461538464,78.0,2,2.0,0,Familiar_Chico,AltaMarg_BajaGentrif,0.0,2.0,Media_Accesibilidad,917.3332960460828
19.3892129,-99.2227597,Boscoso,24500.0,245.0,100.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,3265.250264387453
19.4214424,-99.14322,Cuauhtémoc,25600.0,308.43373493975906,83.0,2,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,290.36036634838484
19.4237195,-99.1752657,Paseo De La Reforma,45200.0,447.5247524752475,101.0,3,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,252.4133593349095
19.4360737,-99.1539172,Cuauhtémoc,35000.0,384.61538461538464,91.0,1,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,248.2217711481182
19.4093714,-99.1712126,Cuauhtémoc,45000.0,483.8709677419355,93.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,514.202520508241
19.3881071,-99.2511696,Cuajimalpa de Morelos,70000.0,234.11371237458195,299.0,3,3.0,0,Amplio_Ejecutivo,BajaMarg_BajaGentrif,0.49427437331671703,1.0,Baja_Accesibilidad,6138.247135334897
19.4486362,-99.2200876,Periodista,32000.0,385.5421686746988,83.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,2402.2426571626384
19.3676032,-99.2910617,Monte De Las Cruces,75000.0,333.3333333333333,225.0,3,3.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,3.0,Baja_Accesibilidad,10532.145694852254
19.4418608,-99.203542,Ampliación Granada,49500.0,412.5,120.0,2,3.0,0,Amplio_Ejecutivo,BajaMarg_AltaGentrif,0.830531038273375,1.0,Media_Accesibilidad,1574.59649013564
19.4164895,-99.1751325,Cuauhtémoc,56000.0,509.09090909090907,110.0,2,2.0,0,Amplio_Ejecutivo,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,556.523249668322
19.405709,-99.2350423,Lomas De Reforma,31500.0,315.0,100.0,2,1.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Baja_Accesibilidad,4375.043534908773
19.4332704,-99.1476839,Cuauhtémoc,42000.0,442.10526315789474,95.0,2,2.0,0,Familiar_Chico,BajaMarg_AltaGentrif,0.830531038273375,1.0,Alta_Accesibilidad,135.35499198714845
19.3320531,-99.2082399,La Magdalena Contreras,47000.0,205.24017467248908,229.0,2,2.0,0,Amplio_Ejecutivo,BajaMarg_BajaGentrif,0.3233249370829295,1.0,Baja_Accesibilidad,2666.566278793826
19.3572429,-99.2996246,Cuajimalpa de Morelos,48000.0,494.8453608247423,97.0,2,2.0,0,Familiar_Chico,AltaMarg_BajaGentrif,0.49427437331671703,3.0,Baja_Accesibilidad,11517.47570534808
19.4312045,-99.1515438,Cuauhtémoc,35600.0,508.57142857142856,70.0,2,2.0,0,Familiar_Chico,AltaMarg_AltaGentrif,0.830531038273375,2.0,Alta_Accesibilidad,324.5698413843067
