longitud,latitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,target_enc_colonia,ratio_precio_vecinal,gentrification_index,precio_predicho,error_pct
-99.1331785,19.4326296,Cuauhtémoc,37100.0,475.64102564102564,78.0,2,2.0,6.213137550744404,1.1583537190988584,0.830531038273375,49217.47750011397,32.66166442079238
-99.1625655,19.4183227,Cuauhtémoc,34500.0,676.4705882352941,51.0,1,1.0,6.19949983278032,1.3508963050923926,0.830531038273375,17389.522389797767,-49.5955872759485
-99.1587376,19.3788814,Benito Juárez,44000.0,275.0,160.0,3,2.0,6.005548552927143,1.006523091995113,0.933319961735651,16862.836764205575,-61.67537099044188
-99.2150977,19.4497398,Miguel Hidalgo,21500.0,413.46153846153845,52.0,1,1.0,6.072022726535433,0.9885103735074107,0.8585849060226639,15200.365840808534,-29.300623996239377
-99.1579016,19.3905208,Benito Juárez,30000.0,352.94117647058823,85.0,2,2.0,5.858063319648431,1.179824636304085,0.933319961735651,17308.8125088791,-42.30395830373634
-99.2014215,19.442902,Miguel Hidalgo,39800.0,537.8378378378378,74.0,2,2.0,6.150388588203739,1.081841128785247,0.8585849060226639,38838.594079785915,-2.415592764356998
-99.2187752,19.4482601,Miguel Hidalgo,31500.0,379.51807228915663,83.0,2,2.0,5.378115170234827,1.0262691369324317,0.8585849060226639,30170.945068896,-4.2192220035047665
-99.1476839,19.4332704,Cuauhtémoc,19900.0,552.7777777777778,36.0,1,1.0,6.170483188380677,1.0183306721333392,0.830531038273375,39229.39379778315,97.13263214966408
-99.2014215,19.442902,Miguel Hidalgo,21500.0,413.46153846153845,52.0,1,1.0,6.068004754024616,0.8316627541057827,0.8585849060226639,34754.56028667701,61.64911761245122
-99.1926322,19.4402557,Miguel Hidalgo,34500.0,297.41379310344826,116.0,2,2.0,6.165074450349454,0.6163949354165155,0.8585849060226639,51220.68835017133,48.46576333382994
-99.2021996,19.3370667,Álvaro Obregón,40000.0,275.86206896551727,145.0,3,3.0,5.734909932166772,1.0288115629816585,0.0,23689.63212539103,-40.77591968652243
-99.2014215,19.442902,Miguel Hidalgo,35900.0,641.0714285714286,56.0,1,1.0,6.064163532614514,1.2894917187414245,0.8585849060226639,66706.0596586211,85.81075113822034
-99.1476839,19.4332704,Cuauhtémoc,26500.0,588.8888888888889,45.0,1,1.0,6.210749596698158,1.084854786393306,0.830531038273375,29967.042023719157,13.083177447996821
-99.2014215,19.442902,Miguel Hidalgo,33000.0,702.1276595744681,47.0,1,1.0,6.164545562834039,1.412304093068306,0.8585849060226639,32964.0330270896,-0.10899082700120881
-99.2014215,19.442902,Miguel Hidalgo,35000.0,625.0,56.0,1,1.0,6.196192888046173,1.257164628299439,0.8585849060226639,29423.617469597863,-15.932521515434678
-99.1668669,19.3601941,Benito Juárez,32900.0,411.25,80.0,1,2.0,5.964649828386921,1.0787387690130763,0.933319961735651,31005.033592708205,-5.759776313956824
-99.2014215,19.442902,Miguel Hidalgo,28500.0,678.5714285714286,42.0,1,1.0,6.079665350274003,1.3649215964393908,0.8585849060226639,23283.97136894255,-18.30185484581561
-99.1668669,19.3601941,Benito Juárez,33500.0,408.5365853658537,82.0,1,1.0,5.973593564081707,1.0716212843632014,0.933319961735651,7912.724766888903,-76.37992606898834
-99.2014215,19.442902,Miguel Hidalgo,29500.0,702.3809523809524,42.0,1,1.0,6.083045968009174,1.4128135822793697,0.8585849060226639,38011.74433454305,28.853370625569664
-99.1625655,19.4183227,Cuauhtémoc,50000.0,666.6666666666666,75.0,2,2.0,6.1611001299142245,1.3313180977722128,0.830531038273375,27275.94651284689,-45.44810697430622
-99.2014215,19.442902,Miguel Hidalgo,35900.0,505.63380281690144,71.0,1,1.0,6.079666990734349,1.0170638908383067,0.8585849060226639,26870.252821196817,-25.152499105301345
-99.1559072,19.4025902,Benito Juárez,20000.0,416.6666666666667,48.0,1,1.0,5.361483410334249,1.206717406590306,0.933319961735651,16664.029719257447,-16.679851403712764
-99.1855297,19.3915073,Benito Juárez,17000.0,425.0,40.0,1,1.0,5.851159219302698,1.374607582914399,0.933319961735651,19879.339878008803,16.937293400051782
-99.1582856,19.4306856,Juárez,33900.0,721.2765957446809,47.0,1,1.0,5.359684264748229,1.4209960688803793,0.5,17853.800307797635,-47.33392239587718
-99.1476839,19.4332704,Cuauhtémoc,34700.0,680.3921568627451,51.0,1,1.0,6.191574219635187,1.2534226777307784,0.830531038273375,16680.570948375902,-51.92919035050172
-99.1855297,19.3915073,Benito Juárez,18500.0,370.0,50.0,1,1.0,5.82515052971156,1.196717189831359,0.933319961735651,47026.024240305414,154.1947256232725
-99.1855297,19.3915073,Benito Juárez,25100.0,386.15384615384613,65.0,2,2.0,5.822040598780316,1.2489647178697345,0.933319961735651,26816.89018463947,6.840199938802666
-99.2171906,19.3539685,Las Aguilas,21000.0,198.11320754716982,106.0,3,3.0,5.367071356854283,0.7481920607259449,0.5,14220.34184716605,-32.28408644206643
-99.0647261,19.4113686,Agrícola Pantitlan,3500.0,175.0,20.0,1,1.0,5.373192985837511,1.5317074964483235,0.5,26417.866798377003,654.7961942393429
-99.2049087,19.2778085,Miguel Hidalgo,14300.0,143.0,100.0,3,2.0,5.3738061161346655,0.9069828286844299,0.8585849060226639,15301.086675953777,7.000606125550886
-99.2150977,19.4497398,Miguel Hidalgo,17400.0,446.15384615384613,39.0,1,1.0,6.10783935644179,1.0666716588545082,0.8585849060226639,35038.1935334246,101.36892835301494
-99.1579016,19.3905208,Narvarte Poniente,15000.0,230.76923076923077,65.0,2,1.0,5.302941253834038,0.7714238006603633,0.5,38504.39765637,156.69598437579998
-99.272261,19.3581682,Cuajimalpa de Morelos,16700.0,287.9310344827586,58.0,1,1.0,5.731051103861552,0.8159406821634515,0.49427437331671703,24618.818287295544,47.418073576620024
-99.1332,19.4326,Sm Alc,19500.0,342.10526315789474,57.0,2,2.0,5.375072982412468,1.1467145778179497,0.5,47889.378757960716,145.58655773313188
-99.1636016,19.386924,Benito Juárez,91000.0,393.93939393939394,231.0,2,2.0,5.771436652445416,1.2655708698546648,0.933319961735651,14756.607474324826,-83.78394783041227
-99.2185154,19.2759456,Tlalpan,21000.0,210.0,100.0,1,1.0,5.364127074153479,1.0054459382447811,0.3919311241687132,30318.932821654966,44.375870579309364
-99.1782191,19.3854613,Nápoles,15500.0,387.5,40.0,1,1.0,5.378947232233527,2.5532187380747753,0.5,22202.893744902412,43.24447577356395
-99.192582,19.4330498,Polanco,90000.0,450.0,200.0,3,2.0,5.366981162115625,0.9747247050290311,0.5,30452.01084250021,-66.16443239722199
-99.1332,19.4326,Gral Anaya,25000.0,263.1578947368421,95.0,2,2.0,5.39039333717033,0.8820881367830381,0.5,69239.21777537666,176.95687110150664
-99.164216,19.4343524,San Rafael,19500.0,629.0322580645161,31.0,1,1.0,6.278075115383152,1.150460076471063,0.5,43198.390114030786,121.53020571297839
-99.1094928,19.4172708,500,19500.0,319.672131147541,61.0,2,2.0,5.350558440410376,2.53065302144216,0.5,25461.427446054553,30.571422800279755
-99.0852744,19.3862605,Paseos De Churubusco,19500.0,130.0,150.0,2,2.0,5.4010538466886215,0.7818534138930606,0.5,76726.905260622,293.4713090288308
-99.1331785,19.4326296,Cuauhtémoc,20300.0,398.03921568627453,51.0,1,1.0,5.370872768991746,0.9693659314101435,0.830531038273375,37970.38157539618,87.04621465712405
-99.1476839,19.4332704,Cuauhtémoc,19200.0,505.2631578947368,38.0,1,1.0,6.159154084366599,0.9307989428439088,0.830531038273375,30394.36327690319,58.303975400537446
