entidad,nom_mun,nom_loc,longitud,latitud,pobtot,p18ym_pb,vph_inter,vph_pc,vph_autom,vph_telef,vph_lavad,vph_snbien,graproes,pea,prom_ocup,pder_ss,nom_mun_norm,pct_internet,pct_educ_sup
9,La Magdalena Contreras,Paraje Chichicaspa,-99.24888888888889,19.276944444444442,103,15.0,0.0,3.0,9.0,4.0,10.0,0.0,7.95,44.0,4.9,62.0,LA MAGDALENA CONTRERAS,0.0,14.563106796116504
9,La Magdalena Contreras,Localidades de una vivienda,,,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,LA MAGDALENA CONTRERAS,0.0,0.0
9,La Magdalena Contreras,Localidades de dos viviendas,,,14,6.0,1.0,2.0,4.0,3.0,2.0,0.0,0.0,7.0,0.0,4.0,LA MAGDALENA CONTRERAS,7.142857142857142,42.857142857142854
9,Milpa Alta,Total del Municipio,,,130582,32027.0,4860.0,7761.0,11931.0,16071.0,19226.0,334.0,9.07,53947.0,4.11,69193.0,MILPA ALTA,3.721799329157158,24.526351258213232
9,Milpa Alta,Villa Milpa Alta,-99.02305555555556,19.192222222222224,18274,5233.0,784.0,1169.0,1874.0,2440.0,2434.0,49.0,9.25,7864.0,4.11,7908.0,MILPA ALTA,4.290248440407136,28.636313888584873
9,Milpa Alta,San Antonio Tecómitl,-98.98805555555556,19.217777777777776,24397,7003.0,1369.0,1995.0,2291.0,3553.0,4280.0,20.0,9.55,10141.0,4.14,12896.0,MILPA ALTA,5.611345657252941,28.704348895355984
9,Milpa Alta,San Bartolomé Xicomulco,-99.06666666666666,19.205277777777777,4340,1243.0,176.0,340.0,449.0,581.0,750.0,7.0,9.55,1831.0,3.88,3160.0,MILPA ALTA,4.055299539170507,28.640552995391705
9,Milpa Alta,San Francisco Tecoxpa,-99.00638888888889,19.191666666666666,11456,2788.0,421.0,654.0,1224.0,1421.0,1610.0,33.0,9.08,4721.0,4.15,5444.0,MILPA ALTA,3.6749301675977653,24.33659217877095
9,Milpa Alta,San Pablo Oztotepec,-99.07249999999999,19.185833333333335,15507,3997.0,590.0,949.0,1120.0,2049.0,2465.0,19.0,9.33,6300.0,4.16,9303.0,MILPA ALTA,3.804733346230735,25.77545624556652
9,Milpa Alta,San Pedro Atocpan,-99.04916666666666,19.200555555555553,8283,1887.0,212.0,393.0,912.0,936.0,1094.0,29.0,8.94,3615.0,4.09,3131.0,MILPA ALTA,2.5594591331643124,22.78160086925027
9,Milpa Alta,San Salvador Cuauhtenco,-99.08749999999999,19.190833333333334,13856,3155.0,540.0,836.0,1127.0,1947.0,2284.0,24.0,9.06,5534.0,4.17,7773.0,MILPA ALTA,3.8972286374133946,22.769919168591223
9,Milpa Alta,Santa Ana Tlacotenco,-98.9961111111111,19.17388888888889,10593,2559.0,331.0,569.0,939.0,1344.0,1357.0,44.0,8.99,4138.0,4.01,6930.0,MILPA ALTA,3.1247049938638725,24.157462475219486
9,Milpa Alta,Cruztitla,-99.0038888888889,19.215555555555554,496,98.0,3.0,17.0,26.0,4.0,75.0,2.0,8.5,206.0,4.03,247.0,MILPA ALTA,0.6048387096774194,19.758064516129032
9,Milpa Alta,Atlimeya,-99.07249999999999,19.16638888888889,30,2.0,0.0,0.0,1.0,0.0,2.0,0.0,5.83,9.0,6.0,10.0,MILPA ALTA,0.0,6.666666666666667
9,Milpa Alta,Atoctienco,-99.045,19.213055555555556,108,21.0,0.0,6.0,12.0,0.0,19.0,0.0,8.55,58.0,3.62,68.0,MILPA ALTA,0.0,19.444444444444446
9,Milpa Alta,Totolan,-99.035,19.183333333333334,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Xoctonco,-99.08749999999999,19.183888888888887,329,36.0,5.0,10.0,15.0,32.0,39.0,2.0,8.1,119.0,4.27,155.0,MILPA ALTA,1.5197568389057752,10.94224924012158
9,Milpa Alta,Cozcatlán,-99.01694444444445,19.180555555555557,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,La Herradura (Séptima Curva),-99.04916666666666,19.184166666666666,96,10.0,0.0,0.0,8.0,3.0,11.0,0.0,7.54,32.0,3.6,48.0,MILPA ALTA,0.0,10.416666666666668
9,Milpa Alta,Zangahco,-99.06611111111111,19.1725,31,2.0,0.0,0.0,0.0,0.0,2.0,2.0,6.28,13.0,4.43,10.0,MILPA ALTA,0.0,6.451612903225806
9,Milpa Alta,Hueycotzingo,-99.05277777777778,19.190555555555555,99,8.0,0.0,2.0,8.0,10.0,9.0,1.0,7.59,36.0,3.96,70.0,MILPA ALTA,0.0,8.080808080808081
9,Milpa Alta,Cuauhtec (El Mirador Santa Ana Tlacotenco),-98.98972222222223,19.160555555555554,17,5.0,0.0,1.0,2.0,0.0,2.0,0.0,10.8,7.0,5.67,17.0,MILPA ALTA,0.0,29.411764705882355
9,Milpa Alta,La Mora,-99.0363888888889,19.189444444444444,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.29,5.0,4.0,0.0,MILPA ALTA,8.333333333333332,8.333333333333332
9,Milpa Alta,Metenco,-99.08027777777778,19.203611111111112,226,42.0,4.0,12.0,25.0,16.0,30.0,4.0,8.84,89.0,3.96,155.0,MILPA ALTA,1.7699115044247788,18.58407079646018
9,Milpa Alta,Tamasquiti,-99.02361111111111,19.172777777777778,11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.13,5.0,3.67,4.0,MILPA ALTA,0.0,9.090909090909092
9,Milpa Alta,San Agustín el Alto,-99.00833333333334,19.177222222222223,14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.2,5.0,4.67,2.0,MILPA ALTA,7.142857142857142,7.142857142857142
9,Milpa Alta,San Marcos,-99.02527777777777,19.16861111111111,130,15.0,2.0,4.0,15.0,12.0,11.0,1.0,7.76,64.0,5.0,36.0,MILPA ALTA,1.5384615384615385,11.538461538461538
9,Milpa Alta,Atlatlauco,-99.06444444444445,19.17777777777778,90,6.0,0.0,1.0,2.0,1.0,5.0,0.0,7.18,34.0,5.0,64.0,MILPA ALTA,0.0,6.666666666666667
9,Milpa Alta,Cuyucalco,-99.06,19.18277777777778,87,20.0,2.0,7.0,9.0,7.0,15.0,1.0,9.72,35.0,3.78,53.0,MILPA ALTA,2.2988505747126435,22.988505747126435
9,Milpa Alta,Iztauhagca,-99.05888888888889,19.184444444444445,65,12.0,0.0,2.0,5.0,4.0,7.0,0.0,9.1,22.0,3.82,27.0,MILPA ALTA,0.0,18.461538461538463
9,Milpa Alta,Tzotzomaco,-99.03888888888889,19.197777777777777,13,3.0,0.0,0.0,3.0,0.0,1.0,0.0,10.25,6.0,4.33,12.0,MILPA ALTA,0.0,23.076923076923077
9,Milpa Alta,Tlatepexco,-99.07722222222222,19.19472222222222,117,20.0,0.0,3.0,6.0,0.0,8.0,2.0,7.65,49.0,3.45,69.0,MILPA ALTA,0.0,17.094017094017094
9,Milpa Alta,San Paocotitla,-99.05027777777778,19.185833333333335,88,9.0,1.0,3.0,9.0,8.0,9.0,0.0,7.4,36.0,4.19,19.0,MILPA ALTA,1.1363636363636365,10.227272727272728
9,Milpa Alta,Tlacopac,-99.04055555555556,19.172222222222224,51,7.0,0.0,0.0,0.0,1.0,4.0,1.0,8.22,25.0,4.64,16.0,MILPA ALTA,0.0,13.725490196078432
9,Milpa Alta,Tecolotzitzatzian (Piltongo),-99.0436111111111,19.162777777777777,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Mecatzintla,-99.00805555555556,19.185277777777777,15,4.0,0.0,2.0,1.0,0.0,3.0,0.0,9.92,7.0,3.75,2.0,MILPA ALTA,0.0,26.666666666666668
9,Milpa Alta,Tequianquiztunco,-99.07166666666666,19.165277777777778,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Tetexipezco,-99.0363888888889,19.201944444444443,39,8.0,0.0,1.0,3.0,0.0,3.0,0.0,7.2,18.0,4.33,1.0,MILPA ALTA,0.0,20.51282051282051
9,Milpa Alta,Tetlicuili (El Encinal),-98.985,19.157777777777778,67,15.0,1.0,1.0,6.0,8.0,9.0,0.0,8.36,28.0,3.72,55.0,MILPA ALTA,1.4925373134328357,22.388059701492537
9,Milpa Alta,Teuhtli,-99.03055555555555,19.21944444444444,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Texcalahuitiel,-99.05972222222222,19.200555555555553,28,4.0,1.0,2.0,3.0,2.0,4.0,0.0,8.59,11.0,4.67,14.0,MILPA ALTA,3.571428571428571,14.285714285714285
9,Milpa Alta,Tezompa,-99.0525,19.188055555555557,99,17.0,1.0,4.0,9.0,5.0,12.0,0.0,7.59,40.0,4.3,58.0,MILPA ALTA,1.0101010101010102,17.17171717171717
9,Milpa Alta,Colonia Teziuhtepec,-99.07083333333333,19.171944444444446,89,12.0,0.0,2.0,4.0,9.0,9.0,0.0,8.09,32.0,4.05,80.0,MILPA ALTA,0.0,13.48314606741573
9,Milpa Alta,Tetzumpa,-99.07055555555556,19.16722222222222,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Tlaxala,-99.03777777777778,19.202222222222222,46,14.0,3.0,3.0,4.0,6.0,6.0,0.0,9.42,21.0,4.18,3.0,MILPA ALTA,6.521739130434782,30.434782608695656
9,Milpa Alta,Cuescomatepec,-99.04583333333333,19.171111111111113,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Tetepanco,-99.05472222222222,19.20583333333333,94,10.0,0.0,0.0,6.0,1.0,12.0,0.0,7.73,35.0,4.27,74.0,MILPA ALTA,0.0,10.638297872340425
9,Milpa Alta,Cerrada Francisco I. Madero,-99.06055555555555,19.21333333333333,51,14.0,4.0,5.0,6.0,7.0,9.0,0.0,9.06,20.0,4.25,23.0,MILPA ALTA,7.8431372549019605,27.450980392156865
9,Milpa Alta,San José,-99.06,19.208333333333332,137,13.0,0.0,5.0,14.0,0.0,9.0,0.0,7.08,57.0,3.81,69.0,MILPA ALTA,0.0,9.48905109489051
9,Milpa Alta,Hueytepetl,-98.98944444444444,19.189166666666665,202,31.0,2.0,4.0,19.0,10.0,33.0,1.0,7.48,84.0,3.92,106.0,MILPA ALTA,0.9900990099009901,15.346534653465346
9,Milpa Alta,Coximalipa,-99.06916666666666,19.17361111111111,91,19.0,1.0,6.0,12.0,8.0,19.0,0.0,9.0,43.0,3.96,75.0,MILPA ALTA,1.098901098901099,20.87912087912088
9,Milpa Alta,Texacatipac,-99.07638888888889,19.175555555555558,153,25.0,2.0,4.0,13.0,17.0,18.0,1.0,8.48,60.0,3.73,106.0,MILPA ALTA,1.3071895424836601,16.33986928104575
9,Milpa Alta,La Mora III,-99.03472222222221,19.18888888888889,31,8.0,0.0,2.0,3.0,0.0,2.0,0.0,8.67,10.0,3.88,17.0,MILPA ALTA,0.0,25.806451612903224
9,Milpa Alta,La Mora IV,-99.03194444444445,19.190833333333334,13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,4.33,7.0,MILPA ALTA,7.6923076923076925,0.0
9,Milpa Alta,La Mora V,-99.03388888888888,19.191388888888888,23,2.0,0.0,0.0,1.0,5.0,3.0,0.0,6.88,11.0,3.83,14.0,MILPA ALTA,0.0,8.695652173913043
9,Milpa Alta,Coyocalli,-99.03666666666666,19.197222222222223,16,2.0,0.0,0.0,1.0,1.0,1.0,0.0,8.36,8.0,4.0,2.0,MILPA ALTA,0.0,12.5
9,Milpa Alta,Tlapalan,-99.01055555555556,19.180833333333336,37,10.0,2.0,2.0,3.0,5.0,6.0,0.0,9.64,15.0,3.36,20.0,MILPA ALTA,5.405405405405405,27.027027027027028
9,Milpa Alta,Retamatitla,-99.02083333333333,19.176111111111112,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Texalco,-99.03583333333333,19.192777777777778,84,12.0,0.0,2.0,3.0,2.0,11.0,0.0,7.82,28.0,4.94,76.0,MILPA ALTA,0.0,14.285714285714285
9,Milpa Alta,Quepilco,-99.10083333333333,19.189722222222223,56,7.0,2.0,2.0,4.0,5.0,10.0,0.0,8.43,23.0,4.67,23.0,MILPA ALTA,3.571428571428571,12.5
9,Milpa Alta,Texococlixpa (Rancho Santa Elena),-99.1,19.18277777777778,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Barranca Seca (Pozo Ocho),-98.9975,19.20638888888889,200,18.0,5.0,6.0,9.0,18.0,28.0,0.0,6.87,93.0,4.35,103.0,MILPA ALTA,2.5,9.0
9,Milpa Alta,Teatlaco,-98.99166666666667,19.189166666666665,31,1.0,0.0,0.0,3.0,0.0,3.0,1.0,5.67,12.0,3.44,16.0,MILPA ALTA,0.0,3.225806451612903
9,Milpa Alta,Tlaloxtoc (Ejidos de Tecoxpa),-98.98111111111112,19.196944444444444,38,4.0,0.0,1.0,9.0,0.0,2.0,0.0,7.56,19.0,3.8,25.0,MILPA ALTA,0.0,10.526315789473683
9,Milpa Alta,Atuzanco,-99.05499999999999,19.208333333333332,43,5.0,1.0,0.0,4.0,0.0,1.0,1.0,7.46,15.0,3.58,29.0,MILPA ALTA,2.3255813953488373,11.627906976744185
9,Milpa Alta,El Potrero,-99.09222222222222,19.209722222222222,20,11.0,3.0,3.0,2.0,4.0,4.0,0.0,12.07,9.0,4.0,18.0,MILPA ALTA,15.0,55.00000000000001
9,Milpa Alta,Jalisco Uno,-99.03583333333333,19.199722222222224,55,14.0,1.0,3.0,2.0,4.0,7.0,1.0,8.72,23.0,3.67,8.0,MILPA ALTA,1.8181818181818181,25.454545454545453
9,Milpa Alta,Miquixpa,-99.10083333333333,19.18638888888889,32,3.0,0.0,1.0,0.0,0.0,0.0,1.0,7.57,14.0,5.33,2.0,MILPA ALTA,0.0,9.375
9,Milpa Alta,San Lorenzo Tlacoyucan,-99.03111111111112,19.175,3676,706.0,84.0,145.0,397.0,419.0,431.0,14.0,8.44,1655.0,3.92,1885.0,MILPA ALTA,2.2850924918389555,19.205658324265507
9,Milpa Alta,Rinconada del Tioca,-99.08944444444444,19.209166666666665,110,19.0,3.0,5.0,9.0,10.0,12.0,0.0,8.89,55.0,4.58,85.0,MILPA ALTA,2.727272727272727,17.272727272727273
9,Milpa Alta,Tlacpa,-99.05666666666666,19.204722222222223,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MILPA ALTA,0.0,0.0
9,Milpa Alta,Temoclaluca,-99.07944444444443,19.19388888888889,66,8.0,0.0,1.0,5.0,1.0,4.0,0.0,6.91,26.0,4.13,50.0,MILPA ALTA,0.0,12.121212121212121
9,Milpa Alta,Malacaxco,-99.06555555555555,19.197777777777777,55,10.0,0.0,1.0,5.0,1.0,8.0,0.0,8.74,21.0,4.58,14.0,MILPA ALTA,0.0,18.181818181818183
9,Milpa Alta,Cuatlixco,-99.06305555555555,19.194166666666668,26,3.0,0.0,1.0,2.0,0.0,1.0,1.0,7.22,12.0,5.2,6.0,MILPA ALTA,0.0,11.538461538461538
9,Milpa Alta,Tlaloxtutienco (Montesinos),-99.0625,19.195833333333333,30,5.0,0.0,0.0,1.0,1.0,5.0,0.0,8.22,9.0,5.0,6.0,MILPA ALTA,0.0,16.666666666666664
9,Milpa Alta,Coametzu,-99.05777777777777,19.186944444444446,136,18.0,0.0,3.0,5.0,1.0,14.0,0.0,7.13,51.0,4.59,40.0,MILPA ALTA,0.0,13.23529411764706
9,Milpa Alta,Cuauhtunco,-99.04472222222222,19.216944444444444,236,39.0,3.0,6.0,18.0,14.0,25.0,1.0,8.31,117.0,3.93,142.0,MILPA ALTA,1.2711864406779663,16.52542372881356
