entidad,nom_mun,nom_loc,longitud,latitud,pobtot,p18ym_pb,vph_inter,vph_pc,vph_autom,vph_telef,vph_lavad,vph_snbien,graproes,pea,prom_ocup,pder_ss,pct_internet,pct_educ_sup
9,Tláhuac,Ampliación San Miguel,-98.97008666666667,19.29381777777778,276,71.0,24.0,21.0,27.0,0.0,55.0,0.0,9.05,108.0,3.63,212.0,8.695652173913043,25.724637681159418
9,Tláhuac,Ninguno,-98.99522388888889,19.298573333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tláhuac,Xalpa (López Portillo),-99.0235725,19.305855555555556,240,44.0,17.0,13.0,13.0,4.0,36.0,1.0,7.91,123.0,4.36,140.0,7.083333333333333,18.333333333333332
9,Tláhuac,Piñón,-99.01475055555555,19.30539388888889,54,20.0,8.0,0.0,7.0,0.0,5.0,0.0,9.51,33.0,3.38,39.0,14.814814814814813,37.03703703703704
9,Tláhuac,Puertantitla (Camino al Cerro),-99.01263888888889,19.302633055555557,275,66.0,30.0,12.0,24.0,7.0,39.0,0.0,8.71,146.0,4.23,138.0,10.909090909090908,24.0
9,Tláhuac,Prolongación el Rosario,-99.01031861111112,19.23505638888889,152,19.0,12.0,4.0,6.0,8.0,15.0,0.0,7.52,71.0,3.8,74.0,7.894736842105263,12.5
9,Tláhuac,La Nopalera,-99.0123975,19.238145833333334,26,5.0,3.0,2.0,1.0,3.0,3.0,0.0,7.62,19.0,3.71,18.0,11.538461538461538,19.230769230769234
9,Tláhuac,Bugambilias,-98.98662972222222,19.300029444444444,13,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,4.33,5.0,0.0,7.6923076923076925
9,Tláhuac,Tezontitla,-99.00331388888888,19.303478055555555,25,7.0,2.0,1.0,3.0,0.0,3.0,0.0,8.7,15.0,4.17,19.0,8.0,28.000000000000004
9,Tláhuac,Xalatlayco,-99.00597305555556,19.302587777777777,145,24.0,5.0,4.0,12.0,1.0,16.0,2.0,7.93,78.0,3.92,91.0,3.4482758620689653,16.551724137931036
9,Tláhuac,El Capulín,-98.99799722222222,19.31825027777778,30,6.0,2.0,0.0,6.0,1.0,1.0,0.0,8.92,23.0,3.75,4.0,6.666666666666667,20.0
9,Tláhuac,Las Palmas,-99.00164861111111,19.305689166666667,13,2.0,1.0,1.0,1.0,0.0,1.0,0.0,7.75,7.0,4.33,7.0,7.6923076923076925,15.384615384615385
